UF,IDHM_10
AC,0.5860909090909091
AL,0.5635
AM,0.5651129032258064
AP,0.657695652173913
BA,0.5964920634920635
CE,0.6166304347826087
DF,0.824
ES,0.694126582278481
GO,0.6946680161943319
MA,0.5771294498381877
MG,0.6678780773739743
MS,0.6711012658227848
MT,0.6843521126760563
PA,0.572699481865285
PB,0.5883705357142857
PE,0.5982994652406417
PI,0.5710491071428572
PR,0.7017475247524751
RJ,0.7255890410958904
RN,0.6108502994011976
RO,0.6440384615384616
RR,0.6102000000000001
RS,0.7123829365079365
SC,0.729100977198697
SE,0.5969333333333333
SP,0.7398285280728376
TO,0.6399280575539569
